prompt,completion
Generate a Math short answer question:,"Find all values of c such that the given function is continuous from negative infinity to infinity: f(x) = c2x when x ≤ 2, and f(x) = (5/4)cx2 + 3 when x > 2."
Generate a Biology short answer question:,Proteins have different levels of structure. Which level of structure is identified with hydrogen bonds at regular intervals that produce alpha helices and beta- pleated sheets?
Generate a Biology multiple choice question:,"If a student were to analyze the liquid in the nephrons of humans and the nephridia of earthworms, which of the following pairs of substances might be found in both organisms? W) Salts and urea X) Salts and sugar Y) Sugar and urea Z) Sugar and ammonia"
Generate a Math short answer question:,What is the derivative of the integral of x4 with respect to x?
Generate a Math short answer question:,"Find the radius and the center, respectively, of the circle with the equation: x2 + y2 − 16x + 12y + 75 = 0?"
Generate a Chemistry short answer question:,What element corresponds to the electron configuration 1s22s22p5?
Generate a Chemistry multiple choice question:,"In which of the following sets of elements would all members be expected to have very similar chemical properties? W) Neon, oxygen, and fluorine X) Argon, bromine, and krypton Y) Magnesium, calcium, and barium Z) Aluminum, silicon, and phosphorus"
Generate a Chemistry multiple choice question:,Which of the following is an example of effusion? W) The formation of snowflakes in the upper atmosphere X) A hot air balloon flight Y) The evaporation of water from a lake Z) A bike tire losing air after running over a nail
Generate a Chemistry short answer question:,"When hydrochloric acid in an aqueous solution reacts with solid sodium bicarbonate, what are the products?"
Generate a Biology multiple choice question:,Which of the following monomers CANNOT be converted into an intermediate that can be used for cellular respiration? W) Fatty acids X) Glycerol Y) Amino acids Z) Nucleic acids
Generate a Biology short answer question:,"What is the name for the technique in which DNA is digested using restriction enzymes, separated using gel electrophoresis, transferred to a filter, treated with an alkaline solution, and radioactively probed to search for specific DNA sequences?"
Generate a Physics multiple choice question:,Which of the following conditions is necessary and sufficient for an object in equilibrium? W) It is at rest X) It is moving with constant velocity Y) It is either moving with constant velocity or with constant acceleration Z) It is moving with constant acceleration
Generate a Physics short answer question:,"An object with a mass of 1 gram is whirled in a horizontal circle with a radius of 0.5 meters at a constant speed of 2 meters per second. What is the work done on the object, in joules, during one revolution?"
Generate a Physics multiple choice question:,Which of the following will INCREASE the current from a solar panel? W) Using a lead acid cell in series with the solar cells X) Using a wet cell in series with the solar cells Y) Connecting the solar cells in series Z) Connecting the solar cells in parallel
Generate a Physics short answer question:,"Given a DC circuit with a voltage source delivering 20 volts and a circuit resistance of 5 kiloohms, what is the value of the current in amperes?"
Generate a Energy multiple choice question:,"An RLC circuit must contain of all of the following, EXCEPT: W) A capacitor X) An inductor Y) A diode Z) A resistor"
Generate a Energy short answer question:,"By name or number, identify all of the following four factors that directly affect the amount of electricity generated from hydroelectric dams: 1) water temperature, 2) flow, 3) head, 4) time of day."
Generate a Math multiple choice question:,"A line with the equation y = cx + c, where c is a non-zero real number, must intersect which of the following? W) Positive x-axis X) Positive y-axis Y) Negative x-axis Z) Negative y-axis"
Generate a Math short answer question:,"Find the slope of the line tangent to the parametric curve at the given point: x = et, and y = lnt (read as: y equals the natural log of t) at t = 1."
Generate a Physics multiple choice question:,"Neglecting the effect of air resistance, a stone dropped off of a 197-meter high building lands on the ground at which of the following approximate times in seconds? W) 3 X) 4 Y) 6 Z) 18"
Generate a Physics short answer question:,A capacitor has a very large capacitance of 10 farads and is charged by placing a potential difference of 2 volts between its plates. How much energy in joules is stored in the capacitor?
Generate a Energy multiple choice question:,"Which of the following statements is NOT true about the current electricity system in the United States? W) It is 99.7% reliable X) It consists of more than 9,000 electric generating units Y) It has more than 1,000,000 megawatts of generating capacity Z) It is largely decentralized"
Generate a Energy short answer question:,"Taking the latent heat of fusion to be 80 calories per gram, how much energy, in kilocalories, does it take to bring 10 grams of ice at 0° Celsius to liquid water at 20° Celsius?"
Generate a Biology short answer question:,"Insect symbionts are represented in all EXCEPT which of the following three groups: 1) bacteria, 2) fungi, or 3) animals?"
Generate a Biology short answer question:,"By name or number, list all of the following four pollinators that are members of the order Hymenoptera (read as: hy-meh-NOHP-teh-rah): 1) ruby-throated hummingbird, 2) monarch butterfly, 3) green bottle fly, 4) honey bee."
Generate a Math short answer question:,What is the numerical value of 1152?
Generate a Math short answer question:,What is the coefficient corresponding to x3 in the binomial expansion of (x + 2)5 (read as: the quantity x plus 2 to the power of 5)?
Generate a Biology multiple choice question:,Which of the following is NOT synthesized by the human liver? W) Hemoglobin X) Fibrinogen (read as; fy-BRI-noh-jehn) Y) Albumin Z) Lipoprotein
Generate a Biology short answer question:,"By name or number, give all of the following five choices that are components of bile in vertebrates: 1) water, 2) cholesterol, 3) lymph, 4) bilirubin, 5) amylase."
Generate a Energy short answer question:,"As the grade of coal increases, how do the concentrations of carbon and sulfur change, respectively?"
Generate a Energy short answer question:,"If burned over the course of a minute, providing your answer to the nearest ten, about how many kilowatts of power would a pound of human fat release?"
Generate a Physics short answer question:,What is the phrase that refers to the energy required by an incident photon to cause the photoelectric effect?
Generate a Physics short answer question:,"By name or number, identify all of the following four household items that make use of the Bernoulli principle: 1) refrigerator, 2) can opener, 3) washing machine, 4) vacuum cleaner."
Generate a Biology short answer question:,Name the plant tissue beneath the epidermis that makes up the cells that surround a stoma.
Generate a Biology multiple choice question:,Mineral salts participate in enzymatic activity as which of the following? W) Co-factors X) Activators Y) Stabilizers Z) Catalysts
Generate a Math multiple choice question:,Which of the following statements is NOT true about Taylor series? W) Taylor series are defined for infinitely differentiable functions X) All Taylor series are power series Y) All Taylor series are convergent Z) The first n terms of a Taylor series approximate a function with a polynomial
Generate a Math short answer question:,"Considering the function f x = 3x2- 4x + 1, what is the average rate of change from x = 2 to x = 5?"
Generate a Chemistry multiple choice question:,Which of the following statements is TRUE of ceramics? W) They are homogeneous X) They are heterogeneous (read as: heh-teh-roh-JEE-nee-is) Y) They are chelates Z) They are a form of glass
Generate a Chemistry multiple choice question:,Which of the following elements has the valence electron configuration of 3s23p3? W) Phosphorus X) Oxygen Y) Bromine Z) Nitrogen
Generate a Chemistry multiple choice question:,Which of the following represents the electron-pair geometry of the central oxygen atom of ozone? W) Linear X) Trigonal planar Y) Tetrahedral Z) Trigonal bipyramidal
Generate a Chemistry short answer question:,"Within a single atom, what is the maximum number of electrons that can fit in an atomic shell defined by the quantum numbers n = 3 and l = 2 (read as: L equals 2)?"
Generate a Biology short answer question:,One group of carbohydrates is known as polyhydroxylated aldehydes. By what other term is this group described?
Generate a Biology short answer question:,Bacteria depend on cell membrane lipids to provide structure and stability. What physical environmental factor is most likely to cause these membranes to lose stability?
Generate a Chemistry short answer question:,What is the IUPAC name for SnCl ∙ 6H O? 2 2
Generate a Chemistry short answer question:,"By name or number, list all of the following five substances that are NOT Newtonian fluids: 1) gasoline, 2) yogurt, 3) water, 4) blood, 5) ketchup."
Generate a Math multiple choice question:,Which of the following statements is NOT an advantage of a repeated-measures design compared to an independent-measures design to compare two treatment conditions? W) It requires fewer subjects X) It is better suited to study development that takes place over time Y) It reduces problems caused by individual differences Z) It reduces the confounding effects of other factors
Generate a Math short answer question:,"The linear function y = f(x) contains the two points (2, 1) and (5, 8). In simplest form, what is f(13)?"
Generate a Math short answer question:,"A population has a mean of 73 and a standard deviation of 8. If the distribution is standardized to create a new distribution with a mean of 100 and a standard deviation of 20, what is the new value of a score of 65 from the original distribution?"
Generate a Math short answer question:,"What are, respectively, the amplitude, period, horizontal shift, and vertical shift of y = -5 + 7cos [π/6 (x + π/12)] (read as: y equals negative 5 plus 7 cosine of open bracket pi over 6 open parenthesis x plus pi over 12 close parenthesis close bracket)?"
Generate a Biology short answer question:,"If a person suffers an injury and is no longer able to walk but the heart was not affected, which peripheral nervous system component is most likely to have been damaged?"
Generate a Biology short answer question:,"What is the technical name of the process, usually occurring in the fall, through which deciduous plants systematically shed their leaves? A thin layer of cells may be produced during this process, thus further sealing the site of detachment."
Generate a Chemistry multiple choice question:,Which of the following can bond to a metal ion? W) Ligand X) Lewis acid Y) Bronsted-Lowry acid Z) Enantiomer
Generate a Chemistry short answer question:,How many milliliters of 0.75 molar HCl are required to completely neutralize 25.0 milliliters of 0.15 molar Ba(OH) ? 2
Generate a Math short answer question:,"Math – Short Answer The sums of three whole numbers taken in pairs are 10, 15, and 17. What is the largest of these three numbers?"
Generate a Math short answer question:,Math – Short Answer What is the area of a circle that circumscribes a rectangle with sides of lengths 16 and 22?
Generate a Physics short answer question:,Physics – Short Answer An organ pipe open at one end has a fundamental frequency of 50 hertz. Identify all of the following three frequencies that would remain as harmonics if both ends of the organ pipe were opened to the air: 1) 150 hertz; 2) 250 hertz; 3) 350 hertz.
Generate a Physics multiple choice question:,"Physics – Multiple Choice Andrew connects a vacuum pump to a long tube and dips the other end of the tube into a swimming pool directly below him. In meters, which of the following distances is closest to the maximum height he could pump water up the tube? W) 1 X) 5 Y) 10 Z) 25"
Generate a Biology short answer question:,"Biology – Short Answer While the lens of the eye provides dynamic tuning of its focus, the majority of the optical power of the eye derives from what structure?"
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three types of carbon fixation that utilize oxaloacetate [ox-aloe-ASS-eh-tate] as an intermediate to concentrate carbon dioxide around rubisco [roo-BIS-koh]: 1) C3; 2) C4; 3) CAM.
Generate a Chemistry short answer question:,"Chemistry – Short Answer While amino acids can be either D or L, life on Earth only uses L amino acids. These are an example of what type of isomers?"
Generate a Chemistry short answer question:,"Chemistry – Short Answer Consider a reaction that obeys the Arrhenius [ah-REE-nee-us] equation. If the natural log of reaction rate is graphed on the y-axis and one over absolute temperature is graphed on the x-axis, then, in terms of the activation energy E, the ideal gas constant R, and the pre-exponential factor A, what will the slope of this graph be?"
Generate a Energy short answer question:,Energy – Short Answer Researchers at Thomas Jefferson National Accelerator Facility use hadron calorimeters to detect particles created in their accelerator. Identify all of the following four particles that are hadrons: 1) Muon; 2) Kaon; 3) Proton; 4) Neutrino.
Generate a Energy multiple choice question:,Energy – Multiple Choice Scientists at the Joint Genome Institute are using 16S rRNA sequencing to profile bacterial populations. What is the typical purpose of this sequence in the bacterium? W) Transferring amino acids from the tRNA to the nascent peptide X) Binding the codon at the A site Y) Binding the start codon Z) Binding the Shine-Dalgarno sequence
Generate a Math short answer question:,"Math – Short Answer The zeroes of a function f of x on the real numbers are at –3, 4, and 5. What are the zeroes of the function f of the absolute value of x?"
Generate a Math short answer question:,Math – Short Answer What is the volume of the solid obtained by rotating about the y-axis the first-quadrant region bounded by the graphs of y = x – x5 and y = 0?
Generate a Physics short answer question:,"Physics – Short Answer In Compton scattering, a charged particle receives energy and momentum from a collision with what other particle?"
Generate a Physics short answer question:,"Physics – Short Answer A spacecraft is orbiting a star, and powering itself using a photovoltaic cell. If the star’s absolute temperature is doubled, and the spacecraft moves to a distance three times as great from the star, by what factor will the power output of its photovoltaic cell be multiplied?"
Generate a Biology short answer question:,Biology – Short Answer What complex removes introns from pre-mRNA?
Generate a Biology multiple choice question:,Biology – Multiple Choice Pseudogenes are commonly found in the genome of an organism. Which of the following describes the most likely mechanism of how these features arose? W) Inversion X) Polyploidy [poly-ploy-dee] Y) Deletion Z) Duplication
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the denticity of EDTA?
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the IUPAC [EYE-you-pack] name of the major organic product formed when benzene is reacted with a concentrated mixture of nitric and sulfuric acid at high temperature?
Generate a Energy multiple choice question:,Energy – Multiple Choice Scientists at Oak Ridge National Lab’s Isotope Production Program are producing trans-uranium radio- isotopes. Which of the following most accurately describes how they are produced? W) Multiple neutron captures by lighter nuclei X) Fusion of nuclei around half the mass of the target isotope Y) Fission of nuclei around twice the mass of the target isotope Z) Successive alpha decays of slightly heavier nuclei
Generate a Energy short answer question:,Energy – Short Answer Scientists at Pacific Northwest National Lab are using artificial neural networks with multiple hidden layers to design energy-efficient buildings. What is the term for this family of machine-learning algorithms that use artificial neural networks with multiple hidden layers?
Generate a Math short answer question:,Math – Short Answer What is the 4/3 power of –27?
Generate a Math short answer question:,Math – Short Answer Alice and Bob each flip their own coin as many times as needed until their coin lands on heads. What is the probability that Alice and Bob each flipped their coin the same number of times?
Generate a Physics multiple choice question:,Physics – Multiple Choice The intensity of light scattered by Rayleigh [RAY-lee] scattering is directly proportional to what power of wavelength? W) –4 X) –2 Y) 2 Z) 4
Generate a Physics short answer question:,Physics – Short Answer What nuclide has the lowest average nuclear binding energy per nucleon?
Generate a Biology multiple choice question:,"Biology – Multiple Choice A certain flower has a large amount of nectar, is colored red, and has no fragrance. Which of the following pollination vectors did it evolve to exploit? W) Moths X) Birds Y) Bats Z) Butterflies"
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following basic tastes is NOT recognized by a G-protein-coupled receptor? W) Sweet X) Bitter Y) Sour Z) Umami
Generate a Chemistry short answer question:,"Chemistry – Short Answer According to VSEPR [VESS-pur] theory, what is the predicted molecular geometry of the nitrate ion?"
Generate a Chemistry short answer question:,"Chemistry – Short Answer Rank the following three compounds in order of increasing distance traveled in a thin layer chromatography experiment using a mixture of hexane and ethyl acetate as the mobile phase on silica: 1) Nitrobenzene; 2) Hexane-1,6-dicarboxylic [one-six-DYE-car-box-IHL-ik] acid; 3) Toluene."
Generate a Energy short answer question:,Energy – Short Answer Scientists at Oak Ridge National Lab are using defect engineering to control the electrical properties of graphene. Identify all of the following three statements that are accurate about graphene: 1) It is a monolayer; 2) The carbon atoms are sp3 hybridized; 3) It can be doped.
Generate a Energy multiple choice question:,Energy – Multiple Choice Researchers at Lawrence Berkeley National Lab are studying acyl-CoA [AY-sil koh-A] dehydrogenase enzymes. In what process are these enzymes involved? W) Photosynthesis X) Beta oxidation Y) Steroid biosynthesis Z) Heme synthesis
Generate a Chemistry multiple choice question:,"A sloppy chemist forgets to label two beakers. One contains barium chloride solution, and the other contains magnesium chloride solution. The chemist decides to add a third solution to each beaker in order to distinguish the two. Which of the following reagents would form a precipitate in only one of the two beakers? W) Sodium sulfate X) Sodium carbonate Y) Silver nitrate Z) Ammonium chloride"
Generate a Chemistry short answer question:,"Rank, by name or number, the following three molecules or polyatomic ions from the one containing oxygen atoms in the least negative oxidation state, to the one containing oxygen atoms in the most negative oxidation state: 1) ozonide, 2) peroxide, 3) oxygen gas."
Generate a Biology short answer question:,"In photorespiration, ribulose bisphosphate carboxylase [RY-byoo- lays bis-fos-FAYT kahr-BOK-suh-layz] binds what molecule instead of carbon dioxide?"
Generate a Biology multiple choice question:,Which of the following would you NOT expect to experience during fasting or starvation? W) Increase in ketone body formation X) Decrease in plasma fatty acid levels Y) Depletion of glycogen [GLY-kuh-juhn] Z) Increased use of ketones for ATP production in the brain
Generate a Energy short answer question:,"What is the SI [S-I] unit used to measure capacitance, or the ability of a body to store an electrical charge?"
Generate a Energy multiple choice question:,Which of the following foods has the highest energy density? W) Lean meat of a rabbit X) Cell wall of celery Y) Pericarp of an apple Z) Butter churned from milk
Generate a Math short answer question:,What is the smallest possible value for the sum of a positive number and its own reciprocal?
Generate a Math multiple choice question:,"If a2 – 2ab + b2 = x, [A squared minus two A B plus B squared equals x] where a is an odd integer and b is an even integer, which of the following MUST be true about x? W) x is a prime number X) x is divisible by 3 Y) x is an even perfect square Z) x is an odd perfect square"
Generate a Biology short answer question:,What general class of animal tissue is characterized by the presence of collagen?
Generate a Biology multiple choice question:,"Which of the following steroid hormones is the precursor to all of the others listed in the answer choices? W) Estrone X) Testosterone Y) Progesterone Z) Androstenedione [an-druh-steen-DY-ohn] ANSWER Y) PROGESTERONE High School Round 7A Page 3 TOSS-UP 7) CHEMISTRY Multiple Choice You take an IR [I-R] spectrum that has a long, broad peak just below 3000 inverse centimeters. Which of the following is the likely identification of the molecule? W) Nonane [NO-nayn] X) Methylcyclopentane [meth-uhl-sy-kluh-PEN-tan] Y) Hexene Z) Pentanol"
Generate a Chemistry multiple choice question:,Which of the following compounds is most thermodynamically unstable? W) Nitrogen trifluoride X) Nitrogen trichloride Y) Nitrogen tribromide Z) Nitrogen triiodide
Generate a Physics short answer question:,"How much energy, in joules, does a circuit containing a 9 volt battery and a 6 ohm resistor dissipate over 8 seconds?"
Generate a Physics short answer question:,"If the radius of a body is smaller than its Schwarzschild radius, the body becomes what?"
Generate a Biology multiple choice question:,Which of the following animal cell junctions is most similar in function to plant cell plasmodesmata [plaz-muh-des-MUH-tuh]? W) Gap junction X) Tight junction Y) Desmosome Z) Adherens junction
Generate a Biology short answer question:,"Luke Skywalker is looking for evidence about whether Darth Vader was his father. Luke has blood type A, and medical records show that his mother had blood type AB. What are all the possible blood types that Luke’s father could be?"
Generate a Math short answer question:,(cid:3051)(cid:2878)(cid:2869) 11) MATH Short Answer. Determine lim . [the limit as x approaches zero of quantity x (cid:3051)→(cid:2868) (cid:3051) plus one divided by x]
Generate a Math multiple choice question:,"Consider a circle in which a square is inscribed. Inscribed within that square is another circle. If the innermost circle has circumference of 12π, what is the area of the outermost circle? W) 64π X) 72π Y) 88π Z) 96π"
Generate a Energy multiple choice question:,"What is the power generated by a circuit with a total current of 6 amperes running through two resistors in parallel, of 2 and 6 ohms? W) 40 Watts X) 54 Watts Y) 66 Watts Z) 70 Watts"
Generate a Energy short answer question:,"Consider a Carnot engine operating between two reservoirs [REZ- er-vwahrs] of different temperatures. If the temperatures in Kelvin of both reservoirs are doubled, by what factor is the efficiency multiplied?"
Generate a Chemistry multiple choice question:,Which of the following would be the most appropriate S 2 N [S- N- two] leaving group? W) Hydroxyl X) O-Trifluoromethanesulfonate [try-FLOOR-oh-METH-ayn-SUHL-fuh-nayt] Y) O-Ethyl Z) O-Acyl
Generate a Chemistry multiple choice question:,"What is a chief difference between an electrolytic cell and a galvanic cell? W) Galvanic cells convert electrical energy into chemical energy, electrolytic cells convert chemical energy into electrical energy X) Galvanic cells spontaneously produce an electrical current; an external voltage must be applied to an electrolytic cell Y) Oxidation occurs at the anode for a galvanic cell and at the cathode for an electrolytic cell Z) Reduction occurs at the anode for a galvanic cell and at the cathode for an electrolytic cell"
Generate a Biology multiple choice question:,Which of the following animals transfers oxygen to blood via a process called countercurrent exchange? W) Goldfish X) Tarantula Y) Hummingbird Z) Mole
Generate a Biology multiple choice question:,"In a human, breathing air with too much carbon dioxide would lead to all of the following except: W) A reduction in oxygen carrying capacity X) A decrease in oxygen affinity for hemoglobin Y) Facilitation of oxygen to tissues Z) A rightward shift of the oxygen equilibrium curve"
Generate a Energy multiple choice question:,"In an adiabatic [ad-ee-uh-BAT-ik] process, in which direction does heat flow between the system and surroundings? W) Out of the system X) Into the system Y) No heat flow into or out of the system Z) Through the system’s boundaries"
Generate a Energy short answer question:,"In a solar power tower system, what are the names of the mirrors that focus sunlight onto a pipe located at the focal line, heating up fluid inside and producing steam that drives a turbine?"
Generate a Math short answer question:,"A car leaves its original location traveling due west at a speed of 60 miles per hour and arrives at its destination in 3 hours. Later that day, the car returns to its original location. At what speed, in miles per hour, did it travel to cover the same distance in 2 hours?"
Generate a Math short answer question:,". Simplify: (cid:2922)(cid:2925)(cid:2917)(cid:3277) (cid:4666)(cid:3029)(cid:3276)(cid:4667)(cid:3277) . [quantity log in base b of b raised to the power (cid:2922)(cid:2925)(cid:2917)(cid:3276)(cid:3435)(cid:3028)(cid:3277)(cid:3439) (cid:3276) of a raised to the power of b divided by quantity log in base a of a raised to the power of b, raised to the power of a]"
Generate a Physics multiple choice question:,Two objects collide in a perfectly inelastic collision. Which of the following quantities is not conserved in the collision? W) Kinetic energy X) Momentum Y) Potential energy Z) Total energy
Generate a Physics short answer question:,"A Carnot [kahr-NOH] engine takes 2000 joules of heat from a reservoir at 500 kelvin, does some work, and then discards some heat to a reservoir [REZ-er- vwahr] at 300 kelvin. How much heat, in joules, is discarded by the Carnot engine?"
Generate a Biology multiple choice question:,What disadvantage does the presence of introns and exons give eukaryotes [yoo-KAR-ee-ohts] when compared to other organisms? W) The ability to produce more proteins from the same primary transcript X) Greater stability during reproduction Y) Lower error rate during replication Z) Mutations are harder to detect
Generate a Biology multiple choice question:,"Over time, a large mountain range forms, separating two populations of squirrels for multiple generations. Which of the following pairs of terms best describes this speciation event? W) Anagenesis and allopatric speciation [an-uh-JEN-uh-sis] X) Cladogenesis and allopatric speciation [klad-uh-JEN-uh-sis] Y) Anagenesis and sympatric speciation Z) Cladogenesis and sympatric speciation"
Generate a Chemistry multiple choice question:,Lithium dialkylcuprates [dy-AL-kuh-KUHP-rayts] can be used in carbon-carbon bond-forming reactions and are usually known as what named reagent? W) Grignard X) Gilman Y) Wittig Z) Birch
Generate a Chemistry short answer question:,Identify the enzyme that cleaves the first peptide bond at the C- terminal end of a peptide or protein and the organ where the enzyme is synthesized.
Generate a Math short answer question:,"Differentiate the following expression with respect to (cid:1876), provided x is (cid:3051) not 0: [ x over the quantity the absolute value of x]. |(cid:3051)|"
Generate a Math multiple choice question:,"(cid:2869)(cid:2878)(cid:3051) 21) MATH Multiple Choice If f(x) = [f of x equals the fraction with numerator one plus x (cid:3051) and denominator x], which of the following is equivalent to f(x)? W) f (-x) [f of negative x] (cid:2869) X) f ( ) [f of the quantity one divided by x] (cid:3051) (cid:2869) Y) f ((cid:3398) ) [f of the quantity negative one divided by x] (cid:3051) (cid:2869) (cid:2869) Z) (cid:1858)(cid:4666) (cid:4667) [the fraction with numerator f of the quantity one divided by x and denominator (cid:3051) (cid:3051) x] (cid:2869) (cid:2869)"
Generate a Physics short answer question:,The statement that all points on a wavefront will serve as point sources for secondary wavelets is based on what principle?
Generate a Physics short answer question:,Identify all of the following three statements that are true of the cosmic microwave background radiation: 1) The temperature of the radiation can be approximated by a black body; 2) The thermal black body spectrum is at a temperature of approximately 6 Kelvin; 3) The radiation is strongest in the radio and microwave regions of the electromagnetic spectrum.
Generate a Chemistry multiple choice question:,"Which of the following strong acids, all at 0.1 molar concentration, will have the LOWEST pH value: W) H SO 2 4 X) HNO 3 Y) HCl Z) HClO 4"
Generate a Chemistry short answer question:,"Giving its proper charge, what is the oxidation number of the manganese atom in the following compound: MnO – (read as: M, N, O, 4, minus) 4"
Generate a Physics multiple choice question:,"A field emission microscope requires which of the following: W) a conductor with a very fine point X) high energy alpha particles Y) a light source with a wavelength shorter that the smallest observable feature size Z) a low amplitude, time-varying magnetic field"
Generate a Physics short answer question:,"Rounded to the nearest thousand, how many joules of work are done in pulling a wagon with a force of 2000 newtons over a horizontal surface of 10 meters, with a chain that makes a 45º angle with the surface?"
Generate a Biology multiple choice question:,The genetic material of different viruses can be: W) only double-stranded DNA X) only single-stranded DNA or double-stranded DNA Y) only double-stranded DNA or double-stranded RNA Z) either single-stranded DNA and RNA or double-stranded DNA and RNA
Generate a Biology multiple choice question:,Which of the following is NOT characteristic of retroviruses: W) they have single-stranded RNA as their genetic material X) they make mRNA from their original RNA Y) they incorporate their genome into the DNA of the host cell using reverse transcriptase Z) the host cell polymerase transcribes viral genes
Generate a Math short answer question:,"A circle has a radius of 8 centimeters. Find the central angle, in degrees, of a sector of a circle if its arc length is 2π centimeters:"
Generate a Math multiple choice question:,"Which of the following is closest to the radius of a sphere, in meters, given that its volume is 400 cubic meters: W) 2.15 X) 4.57 Y) 6.28 Z) 9.76"
Generate a Earth science multiple choice question:,"Which of the following typically requires warm, clear, shallow water characterized by low nutrient concentration and a hard coastal substrate to develop: W) barrier island X) estuary Y) lagoon Z) coral reef"
Generate a Earth science multiple choice question:,"Which of the following is TRUE regarding climate: W) monsoon climates typically lack seasonal precipitation X) a prolonged rain-shadow effect would most likely produce a tropical climate Y) chaparral vegetation predominates in Mediterranean climates Z) grassland steppes predominate in humid, mid-latitude conditions"
Generate a Chemistry short answer question:,In which positions on the benzene ring are the methyl groups found in the compound o-xylene or ortho-xylene (read as: ORTHO-ZIE-lean):
Generate a Chemistry multiple choice question:,"Which of the following is a tertiary alcohol: W) 2-propanol X) ethanol Y) 2-methyl-2-propanol Z) 1,2-ethanediol"
Generate a Physics multiple choice question:,The scattering of alpha particles by a metal foil was first studied by: W) Compton X) Rutherford Y) Bragg Z) Rayleigh
Generate a Physics short answer question:,"A pole vaulter with a mass of 150 kilograms is traveling at 25 meters per second just prior to landing on an air mattress which collapses and allows the vaulter to come to rest over a period of 2.0 seconds. What was the force of the impact between the vaulter and the air mattress, in newtons?"
Generate a Biology multiple choice question:,"TSH causes the thyroid to produce more T3. When T3 rises, it flows through the blood to the brain to decrease the release of TSH. Which of the following is the MOST accurate and common term for this physiological phenomenon: W) metabolic reaction X) hormonal balance Y) negative feedback Z) endocrine action"
Generate a Biology multiple choice question:,"In mammalian kidneys, reabsorption of water occurs mostly in which of the following: W) glomerulus X) descending limb of the loop of Henle (read as: HEN-lee) Y) proximal convoluted tubule Z) Bowman’s capsule"
Generate a Math multiple choice question:,"If a population distribution is illustrated as a symmetrical bell shape curve, then the median and the mean are: W) not the same X) uncertain Y) variable Z) the same"
Generate a Math short answer question:,"Giving your answer in standard form, what is the fourth term in the binomial expansion of the following: (4x + y)4"
Generate a Earth science multiple choice question:,Which of the following is a physical weathering process caused by a chemical change where there is a weakening and scaling off of successive layers to produce a rounded rock: W) frost action X) exfoliation Y) abrasion Z) plant and animal action
Generate a Earth science multiple choice question:,"Which of the following is one of the main reasons why geologists believe that the second greatest earthquake risk to the U.S. lies along the New Madrid Fault in Kentucky, Mississippi and Tennessee: W) the underlying geology is loose sand and mud deposited by the Mississippi River X) it overlies a deep transform fault margin much like the San Andreas fault Y) it lies over a fast-moving modern plate boundary Z) it lies over a deep, subterranean hot spot"
Generate a Chemistry short answer question:,Predict the bond angle or shape for the central atom in a molecule of beryllium dichloride:
Generate a Chemistry multiple choice question:,Avogadro’s gas law concerns which of the following two variables: W) temperature and pressure X) pressure and volume Y) temperature and volume Z) moles and volume
Generate a Physics multiple choice question:,Which of the following could most practically be used as a detector for the automatic door opening system you find at your local grocery store: W) infrared camera system X) ultrasonic motion detector Y) radar system Z) optical camera system
Generate a Physics multiple choice question:,"The radar system associated with the automatic doors at a local grocery store uses 10.5 gigahertz radiation. If the door is to open for a person walking towards it at 1 meter per second, which Doppler shift must the radar system be able to detect: W) a red shift of 2 hertz X) a blue shift of 35 hertz Y) a red shift of 160 hertz Z) a blue shift of 1.8 hertz"
Generate a Biology multiple choice question:,"During embryogenesis, which of the following is MOST accurate concerning the blastopore: W) it does not exist in protostomes X) it originates before the blastula stage Y) it forms the anus in deuterostomes (read as: DOO-ter-oh-stomes) Z) it is the hollow center of the gastrula"
Generate a Biology multiple choice question:,"Which of the following is a primary function of histones H2A, H2B, H3 and H4: W) preventing damage to DNA from ionizing radiation X) densely packaging DNA into nucleosomes Y) holding DNA in the double helical configuration Z) directing the packaging of DNA into looped domains of about 300 nanometers"
Generate a Math multiple choice question:,Which of the following has a graph that is a parabola that opens downward: W) f(x) = 3x + 1 X) f(x) = x2 – 2 Y) f(x) = –x2 Z) f(x) = x3
Generate a Math short answer question:,"Find the 101st term in the arithmetic sequence whose first three terms are 5, 11, and 17:"
Generate a Earth science multiple choice question:,Which of the following rocks typically has the SMALLEST grains: W) shale X) conglomerate Y) breccia Z) sandstone
Generate a Earth science multiple choice question:,"If ammonoid fossils are found in a sediment layer, the area was MOST likely covered by: W) an ocean X) a large forest Y) a pre-Cambrian swamp Z) a fresh-water basin"
Generate a Chemistry short answer question:,What is the systematic IUPAC name for the compound Fe(NO ) ? 2 3
Generate a Chemistry short answer question:,"To the second decimal place, what is the concentration of nitrate ions, in moles per liter, in a 0.26 molar Al(NO ) solution? 3 3"
Generate a Physics short answer question:,"Billy drops his teddy bear out of the car window 2 meters from the ground while his father is driving down Main Street at 20 meters per second. In seconds to the first decimal place, how long does it take for the bear to hit the ground, assuming air resistance is neglected?"
Generate a Physics short answer question:,"Using your rounded answer to the above question and remembering that the father is driving down Main Street at 20 meters per second, how far will the bear travel horizontally before striking the ground, rounded to the nearest whole meter and again assuming air resistance is neglected?"
Generate a Biology short answer question:,The corpus luteum in humans primarily secretes what hormone?
